,Configuration,R² Score
0,All Components,0.8056828155437192
1,All Components,0.7935117504994945
2,All Components,0.8052109629930839
3,All Components,0.820459943330535
4,All Components,0.807110762192091
5,All Components,0.8182739807958145
6,All Components,0.797911236692429
7,All Components,0.7973560748097729
8,All Components,0.816207464396892
9,All Components,0.8064721015561731
10,All Components,0.8074370123953606
11,All Components,0.835714734176914
12,All Components,0.8099902052415511
13,All Components,0.8307705925880474
14,All Components,0.8148942830644719
15,All Components,0.7992605188040934
16,All Components,0.816553665563592
17,All Components,0.811517162017249
18,All Components,0.8310203008594811
19,All Components,0.80630222426904
20,All Components,0.8082557370848709
21,All Components,0.780530372022536
22,All Components,0.8183812235502861
23,All Components,0.8131156470689112
24,All Components,0.7955392882645124
25,All Components,0.8153617429169684
26,All Components,0.8039133616090313
27,All Components,0.8111437870709319
28,All Components,0.8290757835070293
29,All Components,0.827711267855109
30,All Components,0.8086490977761606
31,All Components,0.8153112550140252
32,All Components,0.8062994929764301
33,All Components,0.8126946456743452
34,All Components,0.8310944161297462
35,All Components,0.8285164779744906
36,All Components,0.810319903845103
37,All Components,0.8025163082048051
38,All Components,0.7989497185081068
39,All Components,0.8329135879902596
40,All Components,0.8085128351898401
41,All Components,0.8105756100408623
42,All Components,0.8003117816024524
43,All Components,0.8065300854851332
44,All Components,0.8001184089917058
45,All Components,0.8236672657744724
46,All Components,0.8158792080095656
47,All Components,0.8186165581442657
48,All Components,0.8214535551341305
49,All Components,0.826364180930268
50,All Components,0.8118690854948627
51,All Components,0.8211939486079449
52,All Components,0.804929507220761
53,All Components,0.8028307124436932
54,All Components,0.8132913354392112
55,All Components,0.816288912204208
56,All Components,0.7893463175889388
57,All Components,0.8257649210296111
58,All Components,0.8150665029821136
59,All Components,0.805886915802565
60,All Components,0.8120649093924588
61,All Components,0.8086464502179656
62,All Components,0.8152736022095076
63,All Components,0.7814042359082224
64,All Components,0.8152492381231292
65,All Components,0.8275510386717809
66,All Components,0.8254221018605794
67,All Components,0.800042260189159
68,All Components,0.8180989686886331
69,All Components,0.8116589851976241
70,All Components,0.791920790252421
71,All Components,0.8205279573260281
72,All Components,0.8174225228014071
73,All Components,0.7822044960632037
74,All Components,0.8232621002671789
75,All Components,0.8101022925229869
76,All Components,0.8220044592686376
77,All Components,0.8243740729409536
78,All Components,0.8035891022131344
79,All Components,0.8272918706969795
80,All Components,0.8131618885810379
81,All Components,0.8138129235470686
82,All Components,0.7958664423544972
83,All Components,0.7989919918025401
84,All Components,0.784311996750321
85,All Components,0.8215441089638358
86,All Components,0.822420484256303
87,All Components,0.7941137680265559
88,All Components,0.8259477629674509
89,All Components,0.808941345603422
90,All Components,0.8250589362393295
91,All Components,0.8199126621957084
92,All Components,0.8244989195826669
93,All Components,0.7949238316152681
94,All Components,0.8178210581040339
95,All Components,0.806991404533896
96,All Components,0.8207926867725993
97,All Components,0.7902899599710747
98,All Components,0.8381098861534951
99,All Components,0.8075232292529727
100,Ablate Center Weight,0.8083333515908403
101,Ablate Center Weight,0.8301577892927288
102,Ablate Center Weight,0.8111702060708621
103,Ablate Center Weight,0.7941687897965911
104,Ablate Center Weight,0.8070315832905828
105,Ablate Center Weight,0.8335773587352334
106,Ablate Center Weight,0.7936720945033124
107,Ablate Center Weight,0.8076567229757062
108,Ablate Center Weight,0.8149479141763194
109,Ablate Center Weight,0.8139564137425586
110,Ablate Center Weight,0.7973111254256873
111,Ablate Center Weight,0.8050026304780156
112,Ablate Center Weight,0.7926005773344499
113,Ablate Center Weight,0.7884576072197729
114,Ablate Center Weight,0.775671646146278
115,Ablate Center Weight,0.7957567964231165
116,Ablate Center Weight,0.8029593620598962
117,Ablate Center Weight,0.8073033544270733
118,Ablate Center Weight,0.8067354942611492
119,Ablate Center Weight,0.7932204864663283
120,Ablate Center Weight,0.8145285409036221
121,Ablate Center Weight,0.7891989929365512
122,Ablate Center Weight,0.8005085480882383
123,Ablate Center Weight,0.8173105149834632
124,Ablate Center Weight,0.8148168005419657
125,Ablate Center Weight,0.8198884056484009
126,Ablate Center Weight,0.8063130026962089
127,Ablate Center Weight,0.8139309863554797
128,Ablate Center Weight,0.809091344110799
129,Ablate Center Weight,0.8059855917087805
130,Ablate Center Weight,0.8054759417918215
131,Ablate Center Weight,0.8042828118264282
132,Ablate Center Weight,0.8087341236835136
133,Ablate Center Weight,0.8109295086962401
134,Ablate Center Weight,0.8321891055753856
135,Ablate Center Weight,0.8006198921994262
136,Ablate Center Weight,0.8116302183824936
137,Ablate Center Weight,0.816532022037185
138,Ablate Center Weight,0.8120837690770066
139,Ablate Center Weight,0.805533483139459
140,Ablate Center Weight,0.8191334727602549
141,Ablate Center Weight,0.8103946675974735
142,Ablate Center Weight,0.7938659985167944
143,Ablate Center Weight,0.8127973963614293
144,Ablate Center Weight,0.8116398984597484
145,Ablate Center Weight,0.8225855642903878
146,Ablate Center Weight,0.818392348850335
147,Ablate Center Weight,0.8337468810383464
