,game,arena,stage,agent,human_data_type,alpha,TV
0,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,ours,should,0.5,0.47556216000994506
1,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,ours-depth3,should,0.5,0.4639531728067209
2,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,expert,should,0.5,0.5005296710794788
3,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,early,random,should,0.5,0.6681922196796345
4,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,ours,should,0.5,0.4534818329522261
5,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,ours-depth3,should,0.5,0.384397683415853
6,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,expert,should,0.5,0.452078032733275
7,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,random,should,0.5,0.6053915275994867
8,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,ours,should,0.5,0.5419226460727111
9,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,ours-depth3,should,0.5,0.5419590582008855
10,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,expert,should,0.5,0.5748538011695907
11,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,random,should,0.5,0.5748538011695906
12,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,ours,should,0.5,0.4010124845992687
13,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,ours-depth3,should,0.5,0.41352863118478306
